Bag_ID,Rep,Bag_mesh,Stream,Treatment,Reach,Sample_Date,streamDays,massInit_CWD,massDry_CWD,massAsh_CWD,AFDM_CWD,OM_percent,AFDM_LL,AFDM_remain,k_CWD_yr,k_LL_d,AFDM_per_LL
Car UB CWD W5 C,C,Fine,Carapa,Unbuff,Carapa Upstream,W5,35,55.6,29.3,0.027,1.1101,99.90784983,29.273,94.06491003,0.638073288,0.043833,21.56306306
Car UB CWD W5 C,C,Coarse,Carapa,Unbuff,Carapa Upstream,W5,35,51.4,28.8,0.1679,0.726,99.41701389,28.6321,92.00546272,0.868931861,0.03467,29.71621622
Car UB CWD W5 B,B,Fine,Carapa,Unbuff,Carapa Upstream,W5,35,52.2,30.7,0.2946,1.3441,99.04039088,30.4054,97.70372751,0.242260669,0.04898,18.00675676
Car UB CWD W5 B,B,Coarse,Carapa,Unbuff,Carapa Upstream,W5,35,51.6,27.2,0.1541,1.2258,99.43345588,27.0459,86.90841902,1.463287885,0.03744,26.96396396
Car UB CWD W5 A,A,Fine,Carapa,Unbuff,Carapa Upstream,W5,35,52.1,29.3,0.1844,0.8237,99.37064846,29.1156,93.55912596,0.694298686,0.02914,36.05405405
Car UB CWD W5 A,A,Coarse,Carapa,Unbuff,Carapa Upstream,W5,35,50.2,29.7,0.0644,1.0678,99.78316498,29.6356,95.23007712,0.509689733,0.03903,25.51126126
Car B CWD W5 C,C,Fine,Carapa,Buff,Carapa Downstream,W5,35,50.2,29,0.2617,1.1171,99.09758621,28.7383,92.34672237,0.830322559,0.04272,22.42117117
Car B CWD W5 C,C,Coarse,Carapa,Buff,Carapa Downstream,W5,35,54.7,30.3,0.1322,1.2368,99.56369637,30.1678,96.94023136,0.32407379,0.03438,30.02477477
Car B CWD W5 B,B,Fine,Carapa,Buff,Carapa Downstream,W5,35,53.2,29.7,0.0158,0.9983,99.94680135,29.6842,95.38624679,0.492601722,0.02806,37.44594595
Car B CWD W5 B,B,Coarse,Carapa,Buff,Carapa Downstream,W5,35,50.8,25.9,0.1266,1.0526,99.51119691,25.7734,82.81940874,1.965866504,0.04745,19.00225225
Car B CWD W5 A,A,Fine,Carapa,Buff,Carapa Downstream,W5,35,52.4,29.5,0.2218,0.8244,99.24813559,29.2782,94.08161954,0.636220941,0.05165,16.4009009
Car B CWD W5 A,A,Coarse,Carapa,Buff,Carapa Downstream,W5,35,52.3,30,0.0249,0.983,99.917,29.9751,96.32101542,0.39090105,0.03612,28.2545045
Arb UB CWD W5 C,C,Coarse,Arb Seep,Unbuff,ArbSeep Upstream,W5,35,50.5,25,0.2906,0.8636,98.8376,24.7094,79.4003856,2.405526882,0.044697,20.92117117
Arb UB CWD W5 C,C,Fine,Arb Seep,Unbuff,ArbSeep Upstream,W5,35,50.8,22.7,0.0109,1.0781,99.95198238,22.6891,72.90841902,3.295074692,0.046,19.98648649
Arb UB CWD W5 B,B,Coarse,Arb Seep,Unbuff,ArbSeep Upstream,W5,35,51.3,26.6,0.0528,0.9819,99.80150376,26.5472,85.3059126,1.657375508,0.04624,19.82207207
Arb UB CWD W5 B,B,Fine,Arb Seep,Unbuff,ArbSeep Upstream,W5,35,51,22.8,0.1182,0.9286,99.48157895,22.6818,72.88496144,3.298430525,0.046405,19.70720721
Arb UB CWD W5 A,A,Coarse,Arb Seep,Unbuff,ArbSeep Upstream,W5,35,51.2,26.3,0.0637,0.9704,99.75779468,26.2363,84.30687661,1.780227549,0.044725,20.9009009
Arb UB CWD W5 A,A,Fine,Arb Seep,Unbuff,ArbSeep Upstream,W5,35,50,27.8,0.0262,0.9274,99.9057554,27.7738,89.24742931,1.186328934,0.043404,21.88963964
Arb B CWD W5 C,C,Coarse,Arb Seep,Buff,ArbSeep Downstream,W5,35,49.1,25.2,0.13609,0.87331,99.45996032,25.06391,80.53955656,2.256969538,,0
Arb B CWD W5 C,C,Fine,Arb Seep,Buff,ArbSeep Downstream,W5,35,50.3,23.6,0.2616,1.0022,98.89152542,23.3384,74.99485861,3.000827964,,0
Arb B CWD W5 B,B,Coarse,Arb Seep,Buff,ArbSeep Downstream,W5,35,50,26.2,0.0431,1.0372,99.83549618,26.1569,84.05173522,1.811835819,0.04467,20.94144144
Arb B CWD W5 B,B,Fine,Arb Seep,Buff,ArbSeep Downstream,W5,35,50.4,23.9,0.0312,0.9876,99.86945607,23.8688,76.69922879,2.766476125,0.044001,21.43693694
Arb B CWD W5 A,A,Coarse,Arb Seep,Buff,ArbSeep Downstream,W5,35,51.5,25.7,0.0263,1.0142,99.89766537,25.6737,82.49903599,2.006285882,0.04731,19.09234234
Arb B CWD W5 A,A,Fine,Arb Seep,Buff,ArbSeep Downstream,W5,35,49.7,23.8,0.0195,1.0124,99.91806723,23.7805,76.41548843,2.805127014,0.04455,21.02927928
